threshold,TP,TN,FP,FN,joint_f1,joint_f1_ci_low,joint_f1_ci_median,joint_f1_ci_high,positive_joint_recall,positive_joint_recall_ci_low,positive_joint_recall_ci_high,accepted_below_n,accepted_below_rate_all_positive,accepted_below_rate_ci_low,accepted_below_rate_ci_high,f1_gap_vs_identification,f1_gap_ci_low,f1_gap_ci_high
0.63,82,136,4,58,0.7256637168141593,0.6545454263687134,0.726457417011261,0.7896995544433594,0.5857142857142857,0.5071428418159485,0.6714285612106323,51,0.36428571428571427,0.2857142984867096,0.44285714626312256,0.2346250918501006,0.17426007986068726,0.2994271218776703
0.64,82,136,4,58,0.7256637168141593,0.6545454263687134,0.726457417011261,0.7896995544433594,0.5857142857142857,0.5071428418159485,0.6714285612106323,51,0.36428571428571427,0.2857142984867096,0.44285714626312256,0.2346250918501006,0.17426007986068726,0.2994271218776703
0.65,80,136,4,60,0.7142857142857143,0.6425339579582214,0.7149321436882019,0.7796609997749329,0.5714285714285714,0.4928571283817291,0.6571428775787354,53,0.37857142857142856,0.2928571403026581,0.4571428596973419,0.24600309437854562,0.18349650502204895,0.31197473406791687
0.66,80,136,4,60,0.7142857142857143,0.6425339579582214,0.7149321436882019,0.7796609997749329,0.5714285714285714,0.4928571283817291,0.6571428775787354,53,0.37857142857142856,0.2928571403026581,0.4571428596973419,0.24600309437854562,0.18349650502204895,0.31197473406791687
0.67,80,136,4,60,0.7142857142857143,0.6425339579582214,0.7149321436882019,0.7796609997749329,0.5714285714285714,0.4928571283817291,0.6571428775787354,53,0.37857142857142856,0.2928571403026581,0.4571428596973419,0.24600309437854562,0.18349650502204895,0.31197473406791687
0.68,78,136,4,62,0.7027027027027027,0.6310679316520691,0.7031963467597961,0.7705627679824829,0.5571428571428572,0.47857141494750977,0.6428571343421936,55,0.39285714285714285,0.30714285373687744,0.4714285731315613,0.2575861059615572,0.19422196522355079,0.32534817010164246
0.69,77,136,4,63,0.6968325791855203,0.6243902444839478,0.6972476840019226,0.7652173638343811,0.55,0.4642857015132904,0.6357142925262451,56,0.4,0.3142857253551483,0.47857141494750977,0.2634562294787396,0.1994753897190094,0.3326573371887207
0.7,76,136,4,64,0.6909090909090909,0.6161137223243713,0.6912442445755005,0.7598253488540649,0.5428571428571428,0.4571428596973419,0.6285714507102966,57,0.40714285714285714,0.3214285671710968,0.48571428656578064,0.269379717755169,0.20511268079280853,0.33917051553726196
0.71,75,136,4,65,0.684931506849315,0.6095238327980042,0.6851851940155029,0.7543859481811523,0.5357142857142857,0.4571428596973419,0.6214285492897034,58,0.4142857142857143,0.3285714387893677,0.4928571283817291,0.2753573018149449,0.21013617515563965,0.3452393561601639
0.72,71,136,4,69,0.6604651162790698,0.5812807679176331,0.6605504751205444,0.7321428656578064,0.5071428571428571,0.4214285612106323,0.5928571224212646,62,0.44285714285714284,0.3571428656578064,0.5214285850524902,0.29982369238519013,0.23111110925674438,0.3726350963115692
